LOCATION,RIVMILE,COLL_DATE,Replicate,MoYr,RM_MoYr_Rep,MACRO_GENSPECIES,INDIV
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Ablabesmyia mallochi,3
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Caenis sp.,2
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Cricotopus/Orthocladius Complex,3
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Dicrotendipes sp.,1
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Labrundinia sp.,2
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Microtendipes rydalensis gr.,3
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Neureclipsis sp.,2
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Nyctiophylax sp.,4
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Pentaneura sp.,1
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Physella sp.,1
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Polycentropus sp.,2
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Polypedilum fallax gr.,2
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Polypedilum flavum,1
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Polypedilum scalaenum gr.,6
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Procloeon sp.,1
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Stenacron interpunctatum,13
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Tanytarsus sp.,13
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Thienemannimyia gr. spp.,2
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Tricorythodes sp.,2
REGI,2.3,8/13/2014,1,Aug-14,2.3-Aug 2014-1,Undetermined Leptophlebiidae,3
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Ablabesmyia mallochi,4
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Acerpenna sp.,1
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Acroneuria sp.,1
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Caenis sp.,1
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Microtendipes pedellus gr.,1
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Neureclipsis sp.,5
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Nyctiophylax sp.,2
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Polypedilum fallax gr.,1
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Polypedilum flavum,1
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Polypedilum illinoense,1
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Stenelmis sp.,1
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Tanytarsus sp.,4
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Thienemannimyia gr. spp.,1
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Tribelos/Endochironomus/Phaenopsectra Co,2
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Tricorythodes sp.,1
REGI,2.3,8/13/2014,2,Aug-14,2.3-Aug 2014-2,Undetermined Heptageniidae,7
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Ablabesmyia mallochi,7
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Ablabesmyia sp.,1
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Caenis sp.,4
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Corynoneura sp.,1
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Dicrotendipes sp.,1
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Labrundinia sp.,1
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Maccaffertium sp.,4
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Microtendipes rydalensis gr.,2
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Neureclipsis sp.,6
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Nyctiophylax sp.,1
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Oxyethira sp.,2
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Paramerina sp.,2
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Phaenopsectra sp.,2
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Physella sp.,12
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Procloeon sp.,2
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Simulium sp.,1
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Stenacron interpunctatum,27
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Tanytarsus sp.,4
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Tricorythodes sp.,9
REGI,2.3,8/13/2014,3,Aug-14,2.3-Aug 2014-3,Undetermined Leptophlebiidae,1
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Ablabesmyia mallochi,10
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Caenis sp.,2
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Cricotopus/Orthocladius Complex,1
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Heptagenia sp.,1
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Labrundinia sp.,1
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Maccaffertium modestum,2
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Maccaffertium vicarium,1
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Microtendipes rydalensis gr.,4
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Neureclipsis sp.,5
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Nyctiophylax sp.,1
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Physella sp.,4
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Polypedilum fallax gr.,3
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Polypedilum scalaenum gr.,1
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Procloeon sp.,3
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Pseudocloeon sp.,1
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Stenacron interpunctatum,32
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Stylaria lacustris,2
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Tanytarsus sp.,5
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Tricorythodes sp.,13
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Tvetenia vitracies,1
REGI,2.3,8/13/2014,4,Aug-14,2.3-Aug 2014-4,Undetermined Turbellaria,1
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Ablabesmyia mallochi,2
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Acerpenna pygmaea,1
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Baetis flavistriga,2
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Baetis intercalaris,8
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Ceratopsyche morosa,7
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Cheumatopsyche sp.,11
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Chimarra obscura,12
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Cladotanytarsus sp.,2
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Cricotopus bicinctus,3
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Cricotopus trifascia gr.,2
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Cricotopus/Orthocladius Complex,11
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Dicrotendipes sp.,3
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Hydropsyche scalaris,3
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Hydroptila sp.,16
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Isonychia sp.,2
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Iswaeon anoka,2
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Labrundinia sp.,2
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Lepidostoma sp.,2
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Maccaffertium mediopunctatum,8
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Maccaffertium modestum,3
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Neureclipsis sp.,7
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Pentaneura sp.,8
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Plauditus sp.,8
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Polypedilum flavum,63
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Polypedilum laetum,2
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Promoresia tardella,3
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Rheotanytarsus sp.,26
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Serratella deficiens,8
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Simulium sp.,7
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Stenelmis sp.,1
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Tanytarsus sp.,5
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Thienemannimyia gr. spp.,15
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Tricorythodes sp.,8
REGI,2.7,8/13/2014,1,Aug-14,2.7-Aug 2014-1,Undetermined Empididae,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Acerpenna pygmaea,6
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Baetis flavistriga,6
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Baetis intercalaris,6
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Brachycentrus appalachia,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Caenis sp.,7
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Ceratopsyche morosa,18
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Cheumatopsyche sp.,32
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Chimarra aterrima?,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Chimarra obscura,30
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Cricotopus bicinctus,10
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Cricotopus trifascia gr.,2
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Hydropsyche sp.,6
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Hydroptila sp.,20
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Isonychia sp.,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Lepidostoma sp.,3
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Maccaffertium mediopunctatum,3
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Maccaffertium modestum,8
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Macronychus glabratus,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Micrasema sp.,2
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Microtendipes rydalensis gr.,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Neureclipsis sp.,9
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Paragnetina media,2
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Pentaneura sp.,11
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Physella sp.,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Plauditus sp.,8
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Polypedilum flavum,31
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Promoresia elegans,3
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Promoresia tardella,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Psychomyia flavida,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Rheocricotopus sp.,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Rheotanytarsus sp.,4
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Serratella deficiens,11
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Simulium sp.,9
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Stenelmis sp.,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Synorthocladius sp.,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Thienemanniella sp.,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Thienemannimyia gr. spp.,9
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Tricorythodes sp.,9
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Tvetenia vitracies,1
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Undetermined Baetidae,9
REGI,2.7,8/13/2014,2,Aug-14,2.7-Aug 2014-2,Undetermined Empididae,1
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Ablabesmyia mallochi,2
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Acerpenna pygmaea,28
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Acroneuria abnormis,2
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Baetis flavistriga,4
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Baetis intercalaris,3
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Caenis sp.,12
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Corynoneura sp.,1
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Cricotopus/Orthocladius Complex,5
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Dicrotendipes sp.,3
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Dubiraphia sp.,1
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Hydroptila sp.,9
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Iswaeon anoka,3
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Labrundinia sp.,3
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Lepidostoma sp.,2
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Leucrocuta sp.,1
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Maccaffertium sp.,13
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Microtendipes rydalensis gr.,8
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Neureclipsis sp.,6
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Nilotanypus sp.,5
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Nyctiophylax sp.,2
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Oecetis avara,2
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Optioservus sp.,1
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Oxyethira sp.,3
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Pentaneura sp.,4
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Plauditus sp.,31
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Polypedilum fallax gr.,2
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Polypedilum flavum,25
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Procloeon sp.,1
REGI,2.7,8/13/2014,3,Aug-14,2.7-Aug 2014-3,Promoresia tardella,2
